dtype,batch_size,sequence_length,eager_p50_ms_median,compile_p50_ms_median,compile_speedup_median,compile_speedup_run1,compile_speedup_run2,compile_speedup_run3,eager_p95_ms_median,compile_p95_ms_median,eager_tokens_s_median,compile_tokens_s_median,eager_peak_mb_median,compile_peak_mb_median,compile_parity_all_runs,compile_max_abs_error_max,compile_accuracy_rmse_max,compile_argmax_match_min
FP16,8,512,5.4031,3.8019499999999997,1.4213495706150792,1.4241357951475377,1.4213495706150792,1.1783534250771215,6.544675,4.583265,730444.3055530277,1010723.1458102525,2090.09375,2089.59375,True,0.0040283203125,0.0,1.0
BF16,1,64,1.7303,0.4074,4.2471772214040255,4.28960335057896,4.2471772214040255,3.9805982215036377,2.123,0.47730999999999996,35769.89632576208,148569.78369168055,266.53857421875,238.60302734375,False,0.025390625,0.0030358214862644672,0.984375
BF16,1,128,1.8130000000000002,0.43,4.216279069767443,4.26105096977898,4.216279069767443,4.179283797970372,2.8948849999999995,0.5369949999999997,64487.1358240146,284906.6263048946,302.541015625,276.541015625,False,0.03125,0.003264686791226268,0.9765625
BF16,1,256,1.77395,0.5507,3.204921009624115,3.204921009624115,3.125352360817477,3.2825149150986683,2.1899599999999997,0.6549649999999998,140389.66753544105,445674.69229296147,374.04296875,342.04296875,False,0.03125,0.0033026791643351316,0.97265625
BF16,1,512,1.87665,0.7818,2.4015093374264516,2.4015093374264516,2.3804465364798677,2.4076592469048688,2.4423749999999993,1.1670449999999997,261598.73347790685,619004.9012614643,518.5458984375,486.5458984375,False,0.03125,0.003177934093400836,0.9765625
BF16,4,64,1.79335,0.53175,3.381446214763835,3.226917484551072,3.381446214763835,5.1031499764927135,2.6008399999999994,0.7686849999999997,132477.61076628984,451226.9495295607,374.044921875,342.044921875,False,0.02734375,0.0033169391099363565,0.95703125
BF16,4,128,1.8710499999999999,0.73535,2.5444346229686543,2.5333014876484237,2.6084285619922056,2.5444346229686543,2.3878755499999995,1.02238,261283.9425575009,661656.0009097769,518.5478515625,486.5478515625,False,0.02734375,0.0031033705454319715,0.97265625
BF16,4,256,2.0501,1.16405,1.761178643529058,1.749079915878023,1.9722343768646327,1.761178643529058,2.57052,1.6625,477629.75784889585,827612.5156995832,806.052734375,774.052734375,False,0.029296875,0.003169750329107046,0.9775390625
BF16,4,512,3.1483499999999998,2.04815,1.5371676879134826,1.5097810502782434,1.743191707817924,1.5371676879134826,3.7658199999999997,2.80687,623899.4898896632,933142.6951967756,1382.0615234375,1350.0615234375,False,0.03173828125,0.0033228094689548016,0.9755859375
BF16,8,64,1.8506,0.7384999999999999,2.504062288422478,2.504062288422478,2.503864507023321,2.5069086968301275,2.310535,1.1685749999999993,265216.8119984003,650074.5300291264,518.55078125,486.55078125,False,0.029296875,0.0031651353929191828,0.990234375
BF16,8,128,2.011,1.1241,1.7909801294931902,1.8156747620318479,1.7822484158284222,1.7909801294931902,2.547935,1.6457649999999997,489112.93827910576,860394.2881179162,806.0556640625,774.0556640625,False,0.02783203125,0.003036742564290762,0.984375
BF16,8,256,3.03425,1.9861499999999999,1.5213352465825847,1.260437004112491,1.5213352465825847,1.5709424016785651,3.6166099999999997,2.7195799999999997,646780.6829424183,965026.2790603434,1382.064453125,1350.064453125,False,0.03125,0.003243110841140151,0.9765625
BF16,8,512,5.5651,3.73745,1.486901342595685,1.486901342595685,1.4478723461183425,1.5091840693520984,6.548039999999999,5.133145,717235.2542140197,1025149.1871130078,2534.0810546875,2502.0810546875,False,0.031494140625,0.003210758790373802,0.97705078125
FP32,1,64,1.5562,0.7033499999999999,2.172856743926278,2.150800457404231,2.172856743926278,2.2611075566929695,1.925795,0.9589399999999998,39556.71753413312,85546.17220979129,457.07666015625,437.20361328125,True,2.0265579223632812e-06,2.782473700335686e-07,1.0
FP32,1,128,1.8146,0.96795,1.8746836096905832,1.6544698544698546,2.0790483499616275,1.8746836096905832,2.8399,1.54168,60289.37013622572,124259.53934658898,484.0791015625,472.0791015625,True,2.5033950805664062e-06,3.7710043443439645e-07,1.0
FP32,1,256,1.86805,1.4308,1.304349362258418,1.074024032656816,1.3190872239306681,1.304349362258418,2.513724999999999,2.0931499999999996,130617.842805508,168182.7200138751,541.0810546875,509.0810546875,True,1.8477439880371094e-06,3.057177480059181e-07,1.0
FP32,1,512,3.3877,2.8186999999999998,1.2013818329607802,1.0967200949836746,1.2018661084897295,1.2013818329607802,4.24512,3.55975,147408.88491276454,180795.81231699718,653.083984375,621.083984375,True,2.9802322387695312e-06,3.8573321603507793e-07,1.0
FP32,4,64,1.9850499999999998,1.2965499999999999,1.5310246423200031,1.7350499942091648,1.38911236256369,1.5310246423200031,2.5503849999999995,1.8400899999999998,123569.06062413959,184702.05250155844,541.0830078125,509.0830078125,True,1.6689300537109375e-06,2.815174013903743e-07,1.0
FP32,4,128,2.6704,2.1994499999999997,1.2141217122462435,1.2141217122462435,0.9982497951887986,1.2161757595109934,3.4333499999999995,2.8864149999999995,181947.4045348443,218782.09970325883,653.0859375,621.0859375,True,2.5033950805664062e-06,3.5926197483604483e-07,1.0
FP32,4,256,4.94325,4.411,1.049161187939243,0.9577157802964255,1.3077666855026058,1.049161187939243,6.41868,5.260979999999999,200889.64213436755,233036.8929580671,877.0908203125,845.0908203125,True,2.9802322387695312e-06,3.7771300753774995e-07,1.0
FP32,4,512,8.7856,8.01715,1.0719078972311036,1.0350340092903427,1.0719078972311036,1.095850769912001,10.73583,9.659315,229118.44784280303,251811.4315996297,1325.099609375,1293.099609375,True,3.2186508178710938e-06,4.3966417706542416e-07,1.0
FP32,8,64,2.6670499999999997,2.17415,1.2082652990823999,1.1099546235590476,1.2082652990823999,1.2289703476718201,3.3349349999999998,2.8795699999999997,182907.0503523104,218272.28956547618,653.0888671875,653.0888671875,True,2.6226043701171875e-06,3.626736884143611e-07,1.0
FP32,8,128,4.309150000000001,3.8229499999999996,1.1271792725513023,1.3903259148774711,0.8991432656085316,1.1271792725513023,5.293749999999999,4.6435200000000005,225640.91616540487,250141.9250075388,877.09375,845.09375,True,2.7418136596679688e-06,3.5414151966506324e-07,1.0
FP32,8,256,9.05385,8.47955,1.0677276506418385,1.03888354378636,1.1292372434079503,1.0677276506418385,10.722845,9.735785,224106.0647082057,245290.84573940892,1325.1025390625,1293.1025390625,True,3.0994415283203125e-06,4.158983983870712e-07,1.0
FP32,8,512,16.482100000000003,15.3369,1.0644763216829787,1.0746695877263335,1.0593602627846594,1.0644763216829787,17.996769999999998,17.979259999999996,248059.61032318234,263250.03698547336,2221.119140625,2189.119140625,True,3.337860107421875e-06,4.4818088440479187e-07,1.0
